NOC,Pred_Total_Medals,Total_Medals_LowerCI,Total_Medals_UpperCI,2024_Gold_Medals,CI_Margin,Prob_FirstMedal
MGL,1.5375635733445132,1.3526574101073099,1.7224697365817165,1.0,0.18490616323720338,0.0
UGA,1.5163015789693737,1.3378321036821856,1.6947710542565617,2.0,0.1784694752871881,0.0
AIN,1.5099290831743972,-25.74720800692255,28.767066173271346,0.0,27.257137090096947,0.5432304570442376
EST,1.4314091079379054,1.4259556123388037,1.4368626035370071,0.0,0.0054534955991017925,0.0
TJK,1.3884869131075166,1.3554748928110851,1.421498933403948,3.0,0.03301202029643144,0.0
MAR,1.386102344308267,1.0546085434441619,1.717596145172372,2.0,0.3314938008641051,0.0
CHI,1.3425733052893214,1.3384721078346362,1.3466745027440066,2.0,0.004101197454685174,0.0
ALG,1.259211259858771,1.159184061901022,1.35923845781652,3.0,0.10002719795774903,0.0
PUR,1.1972969452669526,1.1811443013874838,1.2134495891464214,2.0,0.016152643879468746,0.0
SAA,1.1862614195107255,-26.070875670586222,28.443398509607672,,27.257137090096947,0.5339891169720881
KUW,1.070808976865321,1.069758397897881,1.071859555832761,0.0,0.0010505789674398803,0.0
CIV,1.0319503524973266,1.0293964213295423,1.0345042836651108,1.0,0.0025539311677842073,0.0
NFL,1.0075864360645985,-26.249550654032348,28.264723526161546,,27.257137090096947,0.5288794138340369
SVK,1.0000830043715234,0.9999893578039257,1.000176650939121,1.0,9.364656759764467e-05,0.0
BUR,0.9999999566080842,0.9999999284008022,0.9999999848153661,0.0,2.82072819388968e-08,0.0
KSA,0.9959011720782303,0.9885855688007016,1.0032167753557588,0.0,0.007315603277528633,0.0
CPV,0.9948195369322076,0.9907168194994944,0.9989222543649208,1.0,0.00410271743271316,1.0
ZAM,0.8062118654679197,0.7692716446128222,0.8431520863230172,1.0,0.03694022085509755,0.0
ALB,0.7152269079850148,0.7152268796850989,0.7152269362849306,2.0,2.829991589478208e-08,1.0
LCA,0.6701454664681277,0.22992858751222528,1.1103623454240301,2.0,0.4402168789559024,0.9985761766000945
TTO,0.6624493098200501,0.6165831439978874,0.7083154756422129,0.0,0.04586616582216279,0.0
SGP,0.6115351354955597,0.3635777605594186,0.8594925104317008,1.0,0.24795737493614112,0.0
PAN,0.6074523492647151,-0.05802639781041563,1.272931096339846,1.0,0.6654787470751308,0.0
ISL,0.5056175984202417,0.33434052652084284,0.6768946703196406,0.0,0.17127707189939884,0.0
BOT,0.47548054679576623,0.46792225510714136,0.4830388384843911,2.0,0.007558291688624855,0.0
MNE,0.4520601345509856,0.28564121420779015,0.618479054894181,0.0,0.16641892034319544,0.0
GUA,0.4359411509402615,0.4359101878972732,0.43597211398324975,2.0,3.096304298826771e-05,0.0
UNK,0.4064744673627151,-26.85066262273423,27.663611557459664,,27.257137090096947,0.5116588935074696
NAM,0.3940409741097612,0.3932393595081333,0.39484258871138905,0.0,0.000801614601627888,0.0
CMR,0.38450867438846026,0.3844831708281109,0.3845341779488096,0.0,2.5503560349386476e-05,0.0
BER,0.3625761656507537,0.359004456780739,0.36614787452076836,0.0,0.003571708870014685,0.0
PER,0.349849941222869,0.30595305195883804,0.39374683048689996,1.0,0.04389688926403096,0.0
CYP,0.33198769726593086,0.025116339910708885,0.6388590546211528,1.0,0.306871357355222,0.0
NGR,0.33038143680735704,0.3303310235831272,0.33043185003158687,0.0,5.041322422981894e-05,0.0
PAR,0.31266401540080535,0.31265580939137166,0.31267222141023904,0.0,8.20600943370786e-06,0.0
MRI,0.2903187602995941,0.07941349518031046,0.5012240254188777,0.0,0.21090526511928362,0.0
RHO,0.25675006490395497,-27.000387025192992,27.5138871550009,,27.257137090096947,0.5073649836869754
KOS,0.2560841032219513,-27.001052986874996,27.5132211933189,2.0,27.257137090096947,0.0
UAE,0.23308339195371952,-0.07651980853581264,0.5426865924432517,0.0,0.30960320048953216,0.0
SUD,0.2301736152801237,0.18290266483243015,0.2774445657278172,0.0,0.04727095044769355,0.0
MKD,0.20275664738700772,0.03650201011957094,0.3690112846544445,0.0,0.16625463726743678,0.0
TKM,0.1832617610635395,0.10814974553120503,0.25837377659587396,0.0,0.07511201553233447,0.0
BDI,0.1646645111391068,0.16336418086921053,0.16596484140900306,0.0,0.0013003302698962622,0.0
GAB,0.15241052866107324,0.15190647536020094,0.15291458196194554,0.0,0.0005040533008723162,0.0
LBN,0.15086266642418256,-27.106274423672765,27.40799975652113,0.0,27.257137090096947,0.5043277200543733
WIF,0.1469801442266942,-27.11015694587025,27.404117234323643,,27.257137090096947,0.5042163483301069
ROT,0.13337908966265768,-27.12375800043429,27.390516179759604,,27.257137090096947,0.5038261940274326
SYR,0.1207885405455567,-0.022415177365788977,0.2639922584569024,0.0,0.14320371791134567,0.0
NBO,0.11661928659141882,-27.140517803505528,27.373756376688366,,27.257137090096947,0.5033454241600606
AHO,0.10731783580215085,-0.11152425012387379,0.3261599217281755,,0.21884208592602464,0.0
DMA,0.09479238685737926,-0.005868966880991033,0.19545374059574955,1.0,0.10066135373837029,0.9675338559822116
NIG,0.09184968091219402,-0.22479853547490514,0.4084978972992932,0.0,0.31664821638709917,0.0
MAL,0.07060081960897831,-27.18653627048797,27.327737909705924,,27.257137090096947,0.5020253205811926
DJI,0.044246870286024066,-0.07685770259528626,0.16535144316733438,0.0,0.12110457288131032,0.0
BAR,0.041046122396663186,-0.12679257192897894,0.20888481672230533,0.0,0.16783869432564213,0.0
VIE,0.03762842082200939,-0.2436803941353527,0.3189372357793715,0.0,0.2813088149573621,0.0
TGA,0.028159842524822166,-0.18673809766768906,0.24305778271733341,0.0,0.21489794019251124,0.0
SUR,0.02213695537308013,0.020640314049497982,0.023633596696662276,0.0,0.0014966413235821484,0.0
SEN,0.01752077223581501,-0.013572962392886249,0.048614506864516266,0.0,0.03109373462870126,0.0
TAN,0.0047940448122086,-0.06057085947907612,0.07015894910349332,0.0,0.06536490429128472,0.0
ZIM,0.0031576155841781485,-0.011300635180672126,0.017615866349028425,0.0,0.014458250764850276,0.0
SSD,0.0030634506394075613,-27.25407363945754,27.260200540736353,0.0,27.257137090096947,0.5000878813626433
MOZ,0.0009867548700556708,-0.0035301883619137126,0.005503698102025055,0.0,0.004516943231969384,0.0
LUX,0.0008675430467606785,-0.0026409096156417592,0.004375995709163116,0.0,0.0035084526624024376,0.0
CRC,0.0008158924404679791,-0.1492186105569007,0.15085039543783665,0.0,0.15003450299736867,0.0
IRQ,0.0006787603722541879,-0.10871901571945125,0.11007653646395962,0.0,0.10939777609170544,0.0
ERI,5.007523749832712e-06,-2.095985480168404e-05,3.097490230134946e-05,0.0,2.596737855151675e-05,0.0
ISV,1.8972427776848188e-06,-1.2016468831429928e-05,1.5810954386799566e-05,0.0,1.3913711609114747e-05,0.0
HAI,4.773110726426569e-09,-2.2454803004763348e-08,3.200102445761648e-08,0.0,2.7227913731189915e-08,0.0
GHA,3.682955814428266e-09,-2.5191417770448114e-08,3.2557329399304646e-08,0.0,2.887437358487638e-08,0.0
AND,0.0,0.0,0.0,0.0,0.0,
ANT,0.0,0.0,0.0,0.0,0.0,
BEN,0.0,0.0,0.0,0.0,0.0,
BAN,0.0,0.0,0.0,0.0,0.0,
ASA,0.0,0.0,0.0,0.0,0.0,
ARU,0.0,0.0,0.0,0.0,0.0,
BIZ,0.0,0.0,0.0,0.0,0.0,
BHU,0.0,0.0,0.0,0.0,0.0,
COK,0.0,0.0,0.0,0.0,0.0,
ANG,0.0,0.0,0.0,0.0,0.0,
VNM,0.0,0.0,0.0,,0.0,
TUV,0.0,0.0,0.0,0.0,0.0,
NRU,0.0,0.0,0.0,0.0,0.0,
GUM,0.0,0.0,0.0,0.0,0.0,
GUI,0.0,0.0,0.0,0.0,0.0,
FSM,0.0,0.0,0.0,0.0,0.0,
GBS,0.0,0.0,0.0,0.0,0.0,
HON,0.0,0.0,0.0,0.0,0.0,
GAM,0.0,0.0,0.0,0.0,0.0,
ESA,0.0,0.0,0.0,0.0,0.0,
CAY,0.0,0.0,0.0,0.0,0.0,
CGO,0.0,0.0,0.0,0.0,0.0,
BRU,0.0,0.0,0.0,0.0,0.0,
COM,0.0,0.0,0.0,0.0,0.0,
COD,0.0,0.0,0.0,0.0,0.0,
GEQ,0.0,0.0,0.0,0.0,0.0,
CHA,0.0,0.0,0.0,0.0,0.0,
CAM,0.0,0.0,0.0,0.0,0.0,
CAF,0.0,0.0,0.0,0.0,0.0,
BOL,0.0,0.0,0.0,0.0,0.0,
BIH,0.0,0.0,0.0,0.0,0.0,
IVB,0.0,0.0,0.0,0.0,0.0,
LES,0.0,0.0,0.0,0.0,0.0,
LBA,0.0,0.0,0.0,0.0,0.0,
KIR,0.0,0.0,0.0,0.0,0.0,
LBR,0.0,0.0,0.0,0.0,0.0,
LAO,0.0,0.0,0.0,0.0,0.0,
MLI,0.0,0.0,0.0,0.0,0.0,
MON,0.0,0.0,0.0,0.0,0.0,
LIE,0.0,0.0,0.0,0.0,0.0,
MAD,0.0,0.0,0.0,0.0,0.0,
MYA,0.0,0.0,0.0,0.0,0.0,
YEM,0.0,0.0,0.0,0.0,0.0,
VIN,0.0,0.0,0.0,0.0,0.0,
SOM,0.0,0.0,0.0,0.0,0.0,
OMA,0.0,0.0,0.0,0.0,0.0,
NCA,0.0,0.0,0.0,0.0,0.0,
MLT,0.0,0.0,0.0,0.0,0.0,
MTN,0.0,0.0,0.0,0.0,0.0,
NEP,0.0,0.0,0.0,0.0,0.0,
MHL,0.0,0.0,0.0,0.0,0.0,
MDV,0.0,0.0,0.0,0.0,0.0,
MAW,0.0,0.0,0.0,0.0,0.0,
PNG,0.0,0.0,0.0,0.0,0.0,
PLW,0.0,0.0,0.0,0.0,0.0,
PLE,0.0,0.0,0.0,0.0,0.0,
RWA,0.0,0.0,0.0,0.0,0.0,
SOL,0.0,0.0,0.0,0.0,0.0,
TLS,0.0,0.0,0.0,0.0,0.0,
VAN,0.0,0.0,0.0,0.0,0.0,
SLE,0.0,0.0,0.0,0.0,0.0,
STP,0.0,0.0,0.0,0.0,0.0,
SKN,0.0,0.0,0.0,0.0,0.0,
SEY,0.0,0.0,0.0,0.0,0.0,
SWZ,0.0,0.0,0.0,0.0,0.0,
SAM,-0.005118308912076459,-0.11976029430183044,0.10952367647767752,0.0,0.11464198538975398,0.0
SRI,-0.008344244953692482,-0.01757311508688577,0.0008846251795008083,0.0,0.00922887013319329,0.0
GUY,-0.011245503871306748,-0.16161090376197365,0.13911989601936017,0.0,0.1503653998906669,0.0
TOG,-0.0115323060005614,-0.2140004090278176,0.1909357970266948,0.0,0.2024681030272562,0.0
PAK,-0.030497185085585,-0.056434670979074744,-0.004559699192095253,1.0,0.025937485893489747,0.0
URU,-0.031700976021622945,-0.04323846317582986,-0.020163488867416028,0.0,0.011537487154206917,0.0
IOA,-0.03217436467073955,-27.289311454767688,27.224962725426206,,27.257137090096947,0.49907701319764475
AFG,-0.033854178859736024,-0.10910089594843206,0.04139253822896,0.0,0.07524671708869603,0.0
LIB,-0.15999288283836247,-0.40931896427361947,0.08933319859689451,,0.24932608143525697,0.0
