NOC,Best_Params,CV_MSE,CV_RMSE,Train_MSE,Train_RMSE,Train_R2
PAR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",0.12667331162160772,0.35591194363438794,1.633519119184796e-11,4.0416817281730586e-06,0.9999999997537156
PER,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}",0.2945194554219089,0.5426964671175858,0.00047879798054261335,0.02188145288920764,0.9972736679696161
PHI,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",2.0641410140986545,1.4367118758117978,0.004667990109391299,0.06832269102861288,0.9968341451694
PLE,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
PLW,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
PNG,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
POL,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}",19.470159645188033,4.41250038472384,6.713949477754536e-06,0.002591128996741485,0.9999998927882537
POR,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",1.040266137956299,1.0199343792403015,0.013206477947744115,0.11491944112178808,0.9911079889515189
PRK,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",4.261088778347566,2.064240484620812,0.02565442610329869,0.16016999126958423,0.9908160190576949
PUR,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",1.4687497259907987,1.2119198513065121,6.481827677859653e-05,0.00805097986450075,0.9998799661541137
QAT,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",0.7876366002315682,0.8874889296388819,2.798754241205477e-05,0.005290325359753856,0.9999680519563032
ROU,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}",164.67670898105402,12.832642322649455,1.6008384200911045e-05,0.004001047887855261,0.9999998892140032
RSA,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}",7.700737741727603,2.775020313750442,0.05748318290466918,0.23975650753351654,0.9927818668391346
RWA,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SAM,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}",0.167159412957072,0.4088513335640132,0.003110158838671521,0.055768798074474595,0.9623670780520746
SEN,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.07949162636254968,0.2819425940906228,0.00023657217751126512,0.015380903013518587,0.9959625015038077
SEY,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SGP,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}",0.43440536060459517,0.6590943487882408,0.015126629599455484,0.12299036384796772,0.9546201112016336
SKN,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SLE,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",-0.0,-0.0,0.0,0.0,1.0
SLO,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}",1.491801774938734,1.2213933743633678,9.580971629032881e-10,3.0953144636745526e-05,0.9999999992944921
